City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
400,Cetraro,IT,63.07,39.5166,15.9416,Hotel Carruba RISTORANTE
401,Baiyin,CN,50.92,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
403,Saldanha,ZA,59.05,-33.0117,17.9442,Blue Bay Lodge
404,Los Llanos De Aridane,ES,69.55,28.6585,-17.9182,Valle Aridane
405,Kathu,TH,83.75,7.9178,98.3332,Novotel Phuket Resort
406,Cayhagan,PH,81.61,9.6697,122.4256,Melrose Beach Resort
407,Mandalgovi,MN,35.24,45.7625,106.2708,В.Ганбат
408,Baneh,IR,53.8,35.9975,45.8853,ساختمان زیتون
409,Funtua,NG,71.02,11.5233,7.3081,Sani Jikan Mallam Hotel
410,Bellefontaine,US,66.65,40.3612,-83.7597,Super 8 by Wyndham Bellefontaine
411,Torbay,CA,52.57,47.6666,-52.7314,Gallows Cove
412,Filadelfia,US,59.09,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
413,San Policarpo,PH,82.89,12.1791,125.5072,Agapita M. Nicart
414,Hami,CN,49.66,42.8,93.45,Laoyutang Resort
415,Palmas,BR,80.47,-10.2128,-48.3603,Hotel Lago da Palma
416,Morgan City,US,72.0,29.6994,-91.2068,Hampton Inn & Suites Morgan City
417,Munchenbuchsee,CH,56.34,47.0218,7.4504,A1 Hotel Restaurant Grauholz AG
418,Stephenville,US,83.19,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
419,Shalinskoye,RU,48.52,55.7228,93.7594,Belaya Sova
420,Talkha,EG,65.82,31.0539,31.3779,Almadiafah
421,Altoona,US,55.24,40.5187,-78.3947,Cedar Grove Motel
423,Daru,PG,85.91,-9.0763,143.2092,Daru Lodge
424,Pitkyaranta,RU,41.97,61.5734,31.4792,Pitkyaranta hotel
425,Kaduna,NG,71.44,10.5222,7.4383,HAMDALA HOTEL
426,Saint-Pierre,RE,71.91,-21.3393,55.4781,Alize Plage
427,Suez,EG,67.93,29.9737,32.5263,Green House
429,Morros,BR,81.63,-9.4467,-46.3003,
430,Meulaboh,ID,76.01,4.1363,96.1285,Kost Pria
431,Narsaq,GL,35.1,60.9167,-46.05,Sleep In Narsaq
432,Kallithea,GR,63.68,37.95,23.7,Athens Atrium Hotel
433,Joshimath,IN,50.67,30.5667,79.5667,Shivalik Camps & Resort
